method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
POST	/platform-workloads/{workload_id}/lifecycle	applyPlatformWorkloadLifecycle	explicit	legacy	[{"BearerAuth":[]}]					[]
GET	/platform-workloads/{workload_id}/logs	getPlatformWorkloadLogs	explicit	legacy	[{"BearerAuth":[]}]					[]
GET	/quotas	listQuotas	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/quotas/me	getMyQuota	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/readyz	readiness	explicit	public	[]					[]
GET	/registry/images	listRegistryImages	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/images/scan-result	getRegistryImageScanResult	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/overview	getRegistryOverview	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects	listRegistryProjects	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/registry/projects	createRegistryProject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/registry/projects/{project}/pull-secret	createRegistryProjectPullSecret	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects/{project}/push-instructions	getRegistryProjectPushInstructions	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects/{project}/repositories	listRegistryRepositories	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects/{project}/repositories/{repository}/artifacts	listRegistryArtifacts	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/registry/projects/{project}/repositories/{repository}/permissions	setRegistryRepositoryPermission	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/registry/projects/{project}/repositories/{repository}/tags/{tag}	deleteRegistryRepositoryTag	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects/{project}/repositories/{repository}/tags/{tag}/references	listRegistryRepositoryTagReferences	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/registry/projects/{project}/scan-report	getRegistryProjectScanReport	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/reservations/me	getMyReservations	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/sandbox-templates	listSandboxTemplates	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/secrets	listSecrets	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/secrets	createSecret	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/secrets/{secret_id}	getSecret	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/secrets/{secret_id}	deleteSecret	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
